Sentiment,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
negative,0,0,0,0,0,0,0,0,0,0
neutral,0,0,0,0,0,0,0,0,0,0
positive,0,0,0,0,0,0,0,0,0,0
