Stock_Code,Issuer_Eng,First_Trade_Board,Total_Return_%,CAGR_Total_Return_%,CAGR_Relative_Return_%,Tags_Count,Total_Hits,Total_Positive_Sentiment,Total_Negative_Sentiment,Tag_Index,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
316,ORIENT OVERSEAS (INTERNATIONAL) LIMITED,7/31/1992,52714.92,24.16,24.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669,TECHTRONIC INDUSTRIES COMPANY LIMITED,12/17/1990,25792.96,21.14,19.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,TENCENT HOLDINGS LIMITED,6/16/2004,42414.98,38.66,30.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
