Stock_Code,Issuer_Eng,First_Trade_Board,Total_Return_%,CAGR_Total_Return_%,CAGR_Relative_Return_%,Tags_Count,Total_Hits,Total_Positive_Sentiment,Total_Negative_Sentiment,Tag_Index,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
273,MASON GROUP HOLDINGS LIMITED,1/11/1973,-100,-42.42,-42.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,EMINENCE ENTERPRISE LIMITED,9/16/1991,-100,-53.49,-62.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,Harbour Digital Asset Capital Limited,10/27/1999,-100,-42.36,-45.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
