Sentiment,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
negative,0.7774680852890015,0.5857332348823547,0,0,1.4449082016944885,0,0.9721899628639221,0,0.7212530970573425,0.9775846600532532
neutral,5.9807931780815125,5.989430069923401,8.839516341686249,8.427943050861359,5.553900301456451,1.9982455968856812,3.9978225231170654,6.5604270696640015,5.893763482570648,6.9212726354599
positive,2.9223589301109314,2.7547614574432373,0.9969532489776611,0.9919911026954651,1.998332917690277,7.985228359699249,4.994177222251892,2.989827573299408,2.5012646317481995,1.996194303035736
