Sentiment,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
negative,6.704890549182892,0.921705424785614,0.7401933670043945,0,3.2753931283950806,0,0.9989510774612427,0,2.698196828365326,0.8474373817443848
neutral,0.7630655169487,1.8425731658935547,0.5900371074676514,0.9592474102973938,1.6790799498558044,1.618299663066864,1.5808205604553223,1.7551670670509338,2.88784921169281,3.197130024433136
positive,1.9308093190193176,6.985331952571869,7.908864736557007,8.983750224113464,3.9523521661758423,7.997734069824219,6.997834026813507,7.788606345653534,3.805882513523102,4.534803748130798
