Sentiment,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
negative,0,0,0,0,0,0,0,0,0,0
neutral,0,0,0,0,0,0,0,0.9942388534545898,0,0
positive,9.997299075126648,9.997878849506378,9.68530261516571,9.997316718101501,9.9868084192276,9.569110453128815,9.981386125087738,8.997004270553589,9.997634410858154,9.986597001552582
