Sentiment,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
negative,0.9825038313865662,0,0.7000061869621277,0,0,0,0,0,0,0.9912527203559875
neutral,0.9991574287414551,0,0,2.437275469303131,0,0,0.8381192088127136,0,0,1.9907534718513489
positive,7.997916042804718,9.992937326431274,8.53315657377243,6.992856025695801,9.91234004497528,9.980615019798279,8.993484020233154,9.99650365114212,9.593694567680359,6.99360054731369
