Stock_Code,Issuer_Eng,First_Trade_Board,Total_Return_%,CAGR_Total_Return_%,CAGR_Relative_Return_%,Tags_Count,Total_Hits,Total_Positive_Sentiment,Total_Negative_Sentiment,Tag_Index,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
316,ORIENT OVERSEAS (INTERNATIONAL) LIMITED,7/31/1992,52714.92,24.16,24.02,5391,10,0,0,0,432,469,472,500,540,559,664,603,576,576
669,TECHTRONIC INDUSTRIES COMPANY LIMITED,12/17/1990,25792.96,21.14,19.74,7507,10,0,0,0,487,534,548,561,709,797,940,1134,1171,626
700,TENCENT HOLDINGS LIMITED,6/16/2004,42414.98,38.66,30.88,7819,10,0,0,0,500,461,536,551,700,802,929,1005,1209,1126
